,fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,avg_ctrl
432,Evan Dunham,18,9,1,0,61,155,70,Southpaw,1981-12-18,39,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,147.35
433,Tom Duquesnoy,16,2,0,1,67,135,68,Orthodox,1993-06-21,27,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0,12.0
434,Reuben Duran,11,7,1,0,67,135,71,Orthodox,1983-07-02,37,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7,237.0
435,Cody Durden,11,3,1,0,67,125,67,Southpaw,1991-03-29,29,3.11,0.48,3.93,0.41,3.28,0.26,0.5,0.8,81.0
436,Merab Dvalishvili,12,4,0,5,66,135,68,Orthodox,1991-01-10,30,3.91,0.39,2.08,0.61,7.71,0.43,0.8,0.3,421.85714285714283
437,David Dvorak,19,3,0,2,65,125,68,Orthodox,1992-06-05,28,4.5,0.48,3.17,0.63,0.0,0.0,0.75,0.0,38.5
438,Matt Dwyer,9,4,0,0,76,170,76,Orthodox,1989-12-17,31,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0,48.5
439,Rolando Dy,9,7,1,0,68,145,69,Orthodox,1990-08-11,30,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0,51.25
440,Marvin Eastman,18,15,1,0,69,185,73,Orthodox,1971-06-08,49,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0,59.4
441,Mike Easton,13,6,0,0,66,135,70,Southpaw,1984-01-25,37,3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0,80.85714285714286
442,Brian Ebersole,51,18,1,0,72,170,73,Southpaw,1980-11-27,40,2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1,251.375
443,Mark Eddiva,6,3,0,0,68,145,68,Orthodox,1986-02-16,34,3.37,0.45,2.98,0.54,1.45,0.22,0.63,0.0,193.0
444,Frankie Edgar,23,8,1,1,66,135,68,Orthodox,1981-10-16,39,3.7,0.39,2.7,0.66,2.28,0.31,0.65,0.3,230.30769230769232
445,Johnny Eduardo,28,12,0,0,67,135,71,Orthodox,1978-08-03,42,2.89,0.38,3.34,0.63,0.0,0.0,0.62,0.5,5.857142857142857
446,Yves Edwards,42,22,1,0,69,155,73,Southpaw,1976-09-30,44,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7,119.1
447,Justin Edwards,9,5,0,0,61,155,70,Orthodox,1983-01-26,38,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0,133.85714285714286
448,Leon Edwards,18,3,0,8,74,170,74,Southpaw,1991-08-25,29,2.53,0.47,2.05,0.55,1.39,0.31,0.7,0.4,251.66666666666666
449,Te Edwards,6,3,0,0,68,155,72,Orthodox,1990-09-11,30,1.5,0.41,4.15,0.44,0.72,1.0,0.44,0.0,375.0
450,Joselyne Edwards,10,2,0,1,68,135,70,Orthodox,1995-09-29,25,5.87,0.49,3.87,0.55,0.0,0.0,0.5,1.0,69.0
451,Stephanie Egger,5,2,0,0,66,135,68,Orthodox,1988-08-12,32,0.67,0.31,1.33,0.52,1.0,0.16,0.4,0.0,127.0
452,Darren Elkins,26,9,0,1,61,145,71,Orthodox,1984-05-16,36,3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2,265.9130434782609
453,Jake Ellenberger,31,15,0,0,69,170,71,Orthodox,1985-03-28,35,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,99.28571428571429
454,Joe Ellenberger,15,2,0,0,69,155,72,Orthodox,1985-03-28,35,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1,263.5
455,Tim Elliott,17,11,1,1,67,125,66,Southpaw,1986-12-24,34,3.5,0.45,2.64,0.59,4.02,0.48,0.58,1.2,197.07142857142858
456,Cameron Else,10,5,0,0,69,135,71,Switch,1987-04-27,33,1.92,0.36,5.58,0.58,0.0,0.0,0.0,0.0,3.0
457,Ramazan Emeev,20,4,0,2,61,170,76,Southpaw,1987-05-23,33,2.5,0.45,1.98,0.66,2.33,0.29,0.66,0.5,257.3333333333333
458,Fedor Emelianenko,36,5,0,3,72,230,74,Orthodox,1976-09-28,44,3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9,0
459,Rob Emerson,18,12,0,0,69,155,70,Orthodox,1981-07-30,39,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4,108.33333333333333
460,Jamall Emmers,18,5,0,1,61,145,74,Orthodox,1989-07-24,31,5.75,0.52,4.65,0.54,2.9,0.53,1.0,0.0,235.0
461,Josh Emmett,16,2,0,3,66,145,70,Orthodox,1985-03-04,35,4.32,0.39,4.02,0.63,1.43,0.47,0.5,0.1,60.111111111111114
462,Oliver Enkamp,7,2,0,0,72,170,77,Switch,1991-08-10,29,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0,35.5
463,Andy Enz,10,4,0,0,75,185,78,Orthodox,1991-08-15,29,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0,0.0
464,Julian Erosa,24,9,0,1,73,145,74,Southpaw,1989-07-31,31,4.92,0.46,5.67,0.5,1.34,0.54,0.58,0.9,77.66666666666667
465,Cole Escovedo,17,9,0,0,67,135,72,Orthodox,1981-08-30,39,1.77,0.43,4.32,0.49,0.43,0.33,0.13,0.0,56.0
466,Efrain Escudero,28,12,0,0,69,155,71,Orthodox,1986-01-15,35,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,167.75
467,Carla Esparza,18,6,0,4,61,115,63,Orthodox,1987-10-10,33,2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3,255.91666666666666
468,Juan Espino,11,1,0,2,75,250,80,,1980-10-09,40,4.32,0.8,0.54,0.42,14.19,0.77,0.0,6.1,178.5
469,Jordan Espinosa,15,8,0,0,66,125,69,Orthodox,1989-11-08,31,4.99,0.53,3.23,0.58,0.92,0.28,0.9,0.2,37.0
470,Jodie Esquibel,6,6,0,0,61,115,64,Orthodox,1986-05-07,34,4.1,0.31,7.37,0.52,0.75,0.21,0.83,0.0,94.25
471,Terry Etim,16,5,0,0,73,155,73,Orthodox,1986-01-11,35,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4,32.09090909090909
472,Sijara Eubanks,7,6,0,0,64,135,67,Orthodox,1985-04-27,35,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,279.875
473,Billy Evangelista,13,3,0,0,68,155,68,Orthodox,1980-10-07,40,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,0
474,Rashad Evans,19,8,1,0,72,205,75,Orthodox,1979-09-25,41,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0,212.9090909090909
475,Ashlee Evans-Smith,6,5,0,0,68,135,67,Orthodox,1987-07-09,33,4.54,0.34,4.69,0.55,1.1,0.23,0.66,0.0,100.375
476,Tonya Evinger,19,8,0,0,67,135,70,Orthodox,1981-06-04,39,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,152.0
477,Movsar Evloev,14,0,0,4,67,145,72,Orthodox,1994-02-11,26,4.7,0.44,2.83,0.64,2.75,0.37,0.7,0.0,288.75
478,Andre Ewell,17,6,0,2,68,135,75,Southpaw,1988-01-21,33,4.5,0.41,4.2,0.54,0.17,0.5,0.73,0.0,38.833333333333336
479,Jessica Eye,15,9,0,0,66,125,66,Orthodox,1986-07-27,34,3.76,0.37,4.01,0.55,0.45,0.4,0.57,0.5,97.61538461538461
480,Urijah Faber,35,11,0,0,66,135,67,Orthodox,1979-05-14,41,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,154.33333333333334
481,Melinda Fabian,4,4,2,0,66,125,66,,1987-06-25,33,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0,2.0
482,Wagnney Fabiano,16,4,0,0,66,145,69,Southpaw,1975-07-14,45,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4,0
483,Bartosz Fabinski,15,4,0,0,72,170,75,Orthodox,1986-04-26,34,2.2,0.69,1.35,0.53,7.08,0.69,0.8,0.0,479.8
484,Zarah Fairn,6,4,0,0,68,145,72,Orthodox,1986-12-12,34,1.98,0.45,6.61,0.39,0.0,0.0,0.5,0.0,11.5
485,Rico Farrington,7,3,0,0,76,170,79,Southpaw,1989-06-19,31,6.33,0.41,7.2,0.51,0.0,0.0,0.2,0.0,0
486,Paul Felder,17,6,0,0,61,155,70,Orthodox,1984-04-25,36,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,102.26666666666667
487,Carlos Felipe,10,1,0,2,72,245,75,Orthodox,1995-01-12,26,4.42,0.45,4.6,0.47,0.0,0.0,0.7,0.0,43.0
488,Kevin Ferguson,5,2,0,0,74,235,77,Orthodox,1974-02-08,46,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2,205.5
489,Tony Ferguson,26,5,0,0,61,155,76,Orthodox,1984-02-12,36,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,25.055555555555557
490,Cezar Ferreira,13,8,0,0,73,185,78,Southpaw,1985-02-15,35,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5,198.26666666666668
491,Diego Ferreira,17,2,0,6,69,155,74,Orthodox,1985-01-18,36,5.07,0.36,3.11,0.61,1.04,0.27,0.7,1.0,88.6
492,Timo Feucht,8,1,0,0,75,205,79,Orthodox,1996-01-18,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
493,Drew Fickett,42,21,0,0,61,155,70,Orthodox,1979-12-14,41,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,100.85714285714286
494,Deiveson Figueiredo,20,1,1,0,65,125,68,Orthodox,1987-12-18,33,3.38,0.56,3.35,0.5,1.57,0.5,0.61,2.4,130.6
495,Francisco Figueiredo,12,3,1,1,66,135,69,Southpaw,1989-10-23,31,1.93,0.54,2.07,0.76,4.0,0.66,1.0,0.0,427.0
496,Edwin Figueroa,9,5,0,0,67,135,69,Orthodox,1984-07-31,36,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6,138.83333333333334
497,Andre Fili,21,8,0,0,61,145,74,Orthodox,1990-06-25,30,3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2,105.9375
498,Mirko Filipovic,35,11,2,1,74,230,73,Southpaw,1974-09-10,46,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3,81.27272727272727
499,Luigi Fioravanti,26,15,0,0,68,170,70,Orthodox,1981-01-22,40,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,169.88888888888889
500,Spencer Fisher,24,9,0,0,67,155,68,Southpaw,1976-05-09,44,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,89.23529411764706
501,Chris Fishgold,18,4,1,0,68,145,68,Orthodox,1992-06-06,28,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,66.0
502,Jon Fitch,30,7,1,0,72,170,74,Orthodox,1978-02-24,42,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8,415.29411764705884
503,Rafael Fiziev,9,1,0,3,68,155,71,Switch,1993-03-05,27,4.67,0.57,4.17,0.55,0.84,0.5,1.0,0.0,66.75
504,Jimmy Flick,16,5,0,2,67,125,68,Orthodox,1990-09-07,30,1.99,0.58,2.3,0.5,1.81,0.5,0.0,7.2,0.0
505,Luke Flores,9,2,0,0,72,155,73,Southpaw,1988-03-17,32,1.56,0.44,1.88,0.6,0.0,0.0,0.4,1.2,0
506,Ty Flores,7,3,0,0,75,205,73,Switch,1993-12-22,27,2.0,0.37,7.8,0.25,1.0,0.09,0.0,0.0,0
507,Alejandro Flores,17,3,0,0,61,145,73,Orthodox,1991-08-06,29,3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0,0
508,Kenny Florian,14,6,0,0,61,145,74,Southpaw,1976-05-26,44,2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3,158.05882352941177
509,Caros Fodor,11,6,0,0,69,155,74,Orthodox,1984-01-07,37,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0,127.0
510,Rob Font,18,4,0,3,68,135,71,Orthodox,1987-06-25,33,5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8,67.0
511,Jesse Forbes,15,5,0,0,74,185,75,Southpaw,1984-10-24,36,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,34.333333333333336
512,Jussier Formiga,23,8,0,0,65,125,67,Orthodox,1985-04-14,35,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,197.75
513,Renee Forte,8,4,0,0,67,155,71,Orthodox,1987-03-27,33,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0,244.0
514,Marcel Fortuna,9,3,0,0,73,205,74,Orthodox,1985-10-22,35,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,22.666666666666668
515,Brian Foster,27,10,0,2,69,170,71,Orthodox,1984-04-03,36,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8,81.4
516,Hermes Franca,24,17,0,0,66,155,71,Orthodox,1974-08-26,46,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,100.0
517,Glaico Franca Moreira,15,5,0,0,72,155,77,Orthodox,1991-02-28,29,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,244.0
518,John Franchi,6,2,0,0,66,145,67,Orthodox,1982-07-16,38,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3,0
519,Rich Franklin,29,7,0,0,73,185,76,Southpaw,1974-10-05,46,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,112.65
520,Stephanie Frausto,8,7,0,0,62,115,61,Orthodox,1990-09-20,30,1.43,0.21,3.57,0.6,0.0,0.0,0.0,0.0,0
521,Justin Frazier,10,3,0,0,72,265,75,Southpaw,1989-06-15,31,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0,0.0
522,Patricio Freire,26,4,0,0,65,145,65,,1987-07-07,33,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6,0
523,Patricky Freire,17,8,0,0,67,155,71,,1986-06-01,34,3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0,0
524,Matt Frevola,8,2,1,0,69,155,71,Orthodox,1990-06-11,30,2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1,120.5
525,Jinh Yu Frey,9,6,0,0,63,115,65,Southpaw,1985-05-20,35,1.9,0.48,4.05,0.42,0.55,0.25,0.83,0.0,80.5
526,Sarah Frota,9,2,0,0,66,125,69,Southpaw,1987-04-14,33,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0,138.0
527,Riki Fukuda,24,9,0,0,72,185,73,Southpaw,1981-01-06,40,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0,220.2
528,Masio Fullen,11,7,0,0,61,145,70,Orthodox,1986-10-06,34,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0,34.333333333333336
529,Ricardo Funch,9,6,0,0,61,170,74,Southpaw,1980-08-14,40,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0,160.0
530,Claudia Gadelha,18,5,0,0,64,115,63,Orthodox,1988-12-07,32,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,267.4166666666667
531,Justin Gaethje,22,3,0,0,61,155,70,Orthodox,1988-11-14,32,7.46,0.59,7.99,0.55,0.0,0.0,0.69,0.0,17.75
532,Mitch Gagnon,12,5,0,0,65,135,65,Southpaw,1984-10-10,36,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9,127.75
533,Mickey Gall,6,3,0,0,74,170,74,Switch,1992-01-22,29,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1,123.25
534,Manvel Gamburyan,15,10,0,0,65,135,67,Orthodox,1981-05-08,39,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,146.42857142857142
535,Mateusz Gamrot,17,1,0,0,61,155,70,Southpaw,1990-12-11,30,3.47,0.41,2.47,0.56,5.0,0.31,1.0,0.0,209.0
536,Shamil Gamzatov,14,0,0,1,74,205,76,Orthodox,1990-08-09,30,4.27,0.46,2.13,0.58,0.0,0.0,0.5,0.0,11.0
537,Ciryl Gane,7,0,0,4,76,245,81,Orthodox,1990-04-12,30,5.61,0.54,1.95,0.73,1.08,0.6,1.0,0.7,48.75
538,Eduardo Garagorri,13,2,0,0,69,145,70,Orthodox,1989-05-28,31,3.42,0.51,2.36,0.58,0.48,1.0,0.61,0.0,47.333333333333336
539,Cody Garbrandt,12,3,0,1,68,135,65,Orthodox,1991-07-07,29,3.35,0.37,3.33,0.65,0.84,0.33,1.0,0.0,14.6
540,Leonard Garcia,18,13,1,0,61,145,68,Orthodox,1979-07-14,41,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,54.111111111111114
541,Edgar Garcia,14,5,0,0,61,170,71,Orthodox,1984-02-22,36,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,53.75
542,Alex Garcia,15,6,0,0,69,170,72,Orthodox,1987-07-14,33,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,195.5
543,Steve Garcia,11,4,0,0,72,155,75,Southpaw,1992-05-22,28,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6,14.0
544,Elias Garcia,6,2,0,0,65,125,67,Southpaw,1992-09-13,28,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4,14.0
545,Pablo Garza,12,4,0,0,73,145,73,Orthodox,1983-09-16,37,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3,90.0
546,Kelvin Gastelum,16,6,0,0,69,185,71,Southpaw,1991-10-24,29,3.72,0.43,3.0,0.59,0.87,0.37,0.63,0.1,113.4375
547,Willie Gates,12,7,0,0,68,125,72,Orthodox,1987-01-21,34,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4,100.0
548,Louis Gaudinot,8,4,0,0,63,125,63,Orthodox,1984-08-28,36,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,59.5
549,Chad George,16,8,0,0,66,135,68,Southpaw,1982-04-30,38,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3,0
550,Karine Gevorgyan,3,3,0,0,64,125,63,,1989-03-09,31,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0,22.0
551,Christos Giagos,18,8,0,1,61,155,71,Orthodox,1990-01-23,31,2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3,245.0
552,Joe Giannetti,6,1,0,0,72,155,74,Southpaw,1995-07-05,25,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0,171.0
553,Cody Gibson,15,7,0,0,61,135,71,Orthodox,1987-09-11,33,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,93.25
554,Chase Gibson,9,5,0,0,61,155,72,Orthodox,1990-02-07,30,3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0,0
555,Thomas Gifford,14,9,0,0,73,155,75,Orthodox,1992-07-26,28,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0,50.5
556,Trevin Giles,13,2,0,2,72,185,74,Orthodox,1992-08-06,28,3.57,0.57,1.83,0.64,1.45,0.87,0.8,0.2,169.66666666666666
557,Gregor Gillespie,13,1,0,0,67,155,71,Orthodox,1986-11-13,34,3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9,319.2857142857143
558,Rick Glenn,21,6,1,0,72,145,70,Southpaw,1989-04-12,31,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,154.33333333333334
559,Mark Godbeer,13,4,0,0,76,240,77,Orthodox,1983-11-22,37,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,73.0
560,Hannah Goldy,5,1,0,0,64,125,61,Orthodox,1992-05-18,28,6.53,0.46,3.9,0.55,0.0,0.0,0.66,0.0,90.0
561,Marcelo Golm,6,3,0,0,75,249,75,Orthodox,1992-09-15,28,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5,43.5
562,Frank Gomez,10,6,0,0,61,135,67,Orthodox,1986-03-31,34,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,0
563,Joey Gomez,6,2,0,0,61,135,73,Orthodox,1986-07-21,34,2.44,0.28,4.46,0.55,0.62,1.0,0.5,0.0,20.0
564,Luis Gomez,4,1,0,0,67,145,68,Orthodox,1995-01-28,26,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0,0
565,Joey Gomez,7,1,0,0,61,155,71,Orthodox,1989-08-29,31,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0,20.0
566,Edson Gomez,6,2,0,0,68,170,69,Switch,1991-02-23,29,2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0,0
567,Takanori Gomi,35,14,0,0,67,155,70,Southpaw,1978-09-22,42,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,46.38461538461539
568,Akihiro Gono,35,21,8,1,67,170,68,Switch,1974-10-07,46,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,114.33333333333333
569,Gabriel Gonzaga,17,11,0,0,74,242,76,Orthodox,1979-05-18,41,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,101.45454545454545
570,Justin Gonzales,6,0,0,1,69,145,72,Orthodox,1991-04-28,29,6.67,0.8,0.87,0.43,14.0,0.73,1.0,0.0,0
571,Fernando Gonzalez,26,14,0,0,69,170,68,Southpaw,1983-09-15,37,4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4,0
572,Jason Gonzalez,11,5,0,0,74,155,74,Southpaw,1990-02-28,30,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0,1.75
573,Jorge Gonzalez,16,4,0,0,74,205,76,Orthodox,1984-02-29,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
574,Mikey Gonzalez,7,2,0,0,61,155,74,Orthodox,1985-08-13,35,0.91,0.16,14.55,0.11,0.0,0.0,0.0,0.0,0
575,Lyman Good,21,6,0,0,72,170,74,Orthodox,1985-05-26,35,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,14.166666666666666
576,Jared Gooden,17,5,0,0,72,170,77,Orthodox,1993-12-05,27,6.67,0.47,11.2,0.49,1.0,1.0,1.0,0.0,66.0
577,Eddie Gordon,8,4,0,0,72,185,76,Orthodox,1983-07-22,37,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,202.25
578,Jared Gordon,16,4,0,1,69,145,68,Orthodox,1988-09-06,32,5.55,0.55,3.35,0.59,2.98,0.41,0.62,0.0,302.85714285714283
579,Malcolm Gordon,12,5,0,0,67,125,71,Switch,1990-05-19,30,0.55,0.13,3.87,0.54,0.0,0.0,0.0,0.0,11.0
580,Alex Gorgees,6,1,0,0,74,155,74,Switch,1995-08-11,25,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0,0.0
581,Jonathan Goulet,23,12,0,0,72,170,73,Orthodox,1979-07-13,41,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,135.88888888888889
582,Thibault Gouti,12,5,0,0,61,155,72,Orthodox,1987-02-27,33,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3,71.33333333333333
583,Wilson Gouveia,14,8,0,0,73,185,76,Orthodox,1978-10-03,42,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,46.9
584,Damian Grabowski,20,5,0,0,73,241,75,Orthodox,1980-05-12,40,4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0,0.3333333333333333
585,Roger Gracie,8,2,0,0,76,185,79,Orthodox,1981-09-26,39,1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9,206.0
586,Kron Gracie,5,1,0,0,69,145,70,Southpaw,1988-07-11,32,5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9,39.0
587,Miranda Granger,7,2,0,0,67,125,68,Orthodox,1992-04-13,28,2.91,0.48,2.64,0.59,0.0,0.0,0.4,0.0,69.0
588,TJ Grant,21,5,0,5,61,155,72,Orthodox,1984-02-26,36,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,175.0909090909091
589,Davey Grant,12,4,0,2,68,135,69,Orthodox,1985-12-18,35,3.67,0.48,2.32,0.63,2.59,0.47,0.66,0.2,188.66666666666666
590,Dwight Grant,10,3,0,0,73,170,76,Switch,1984-09-14,36,3.39,0.37,2.16,0.69,0.34,1.0,0.78,0.0,19.5
591,Alexa Grasso,12,3,0,1,65,115,66,Orthodox,1993-08-09,27,5.35,0.42,3.76,0.63,0.32,0.4,0.63,0.5,71.0
592,Tony Gravely,20,6,0,1,65,135,69,Orthodox,1991-09-28,29,3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8,422.0
593,Michael Graves,6,0,1,0,61,170,71,Orthodox,1991-01-08,30,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,433.0
594,Shelton Graves,7,3,0,1,74,255,76,Southpaw,1985-10-23,35,2.19,0.69,0.81,0.33,4.86,0.57,0.0,0.0,0
595,Kevin Gray,9,4,0,0,64,125,67,Orthodox,1985-05-03,35,3.45,0.62,4.48,0.66,0.0,0.0,0.0,0.0,0
596,Bobby Green,27,11,1,0,61,155,71,Orthodox,1986-09-09,34,5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3,146.0
597,Desmond Green,23,8,0,2,61,155,73,Southpaw,1989-10-11,31,3.7,0.46,2.51,0.69,1.62,0.5,0.75,0.0,49.57142857142857
598,Gabe Green,9,3,0,0,61,170,73,Switch,1993-05-02,27,8.47,0.46,11.67,0.49,0.0,0.0,0.0,0.0,11.0
599,Maurice Greene,9,6,0,0,79,258,80,Orthodox,1986-07-05,34,4.12,0.44,4.37,0.45,0.0,0.0,0.28,0.6,15.571428571428571
600,Matt Grice,15,5,0,0,68,145,70,Orthodox,1981-07-29,39,4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5,263.14285714285717
601,Forrest Griffin,19,7,0,1,75,205,77,Orthodox,1979-03-16,41,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,95.13333333333334
602,Tyson Griffin,16,8,0,0,66,145,68,Orthodox,1984-04-20,36,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,151.28571428571428
603,Max Griffin,16,8,0,1,61,170,76,Orthodox,1985-11-29,35,4.08,0.48,3.91,0.56,1.73,0.53,0.66,0.5,140.4
604,Jordan Griffin,18,8,0,0,61,145,73,Southpaw,1990-02-28,30,2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8,188.75
605,Chad Griggs,11,3,0,0,73,205,73,Orthodox,1978-05-15,42,2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0,3.5
606,Maxim Grishin,31,8,2,1,75,220,78,Orthodox,1984-05-02,36,2.08,0.48,1.44,0.52,0.6,1.0,0.66,0.0,78.5
607,Josh Grispi,14,5,0,0,61,145,74,Orthodox,1988-10-14,32,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2,119.5
608,Kendall Grove,23,17,0,0,78,185,79,Orthodox,1982-11-12,38,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,84.84615384615384
609,Chris Gruetzemacher,14,4,0,0,68,155,68,Orthodox,1986-06-16,34,7.02,0.57,5.54,0.55,0.0,0.0,0.62,0.0,28.6
610,Vik Grujic,6,6,0,0,61,170,73,Orthodox,1977-02-06,43,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,130.0
611,Mike Grundy,12,2,0,0,67,145,72,Orthodox,1987-01-03,34,2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6,109.0
612,Wang Guan,20,1,1,1,69,145,71,Orthodox,1986-03-14,34,4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0,24.0
